Team,avg goals,avg_goals_against,avg_shots,avg_shots_on_target,avg_xG,avg_xGA,avg_possession,avg_passes_into_final third,avg_big_chances_created,avg_opponent_shots_on_target,avg_yellow_cards,avg_red_cards,avg_tackle_won,goals_strength,xG_strength,shot_on_target_strength,avg_passes_into_final third_strength,attack_strength,ga_strength,xGA_strength,defence_strength,adj_attack_strength,adj_defence_strength
switzerland,1.8,0.6,12.6,5,1.84,0.86,57%,104.8,3,4.2,1.2,0,63%,1.232876712,1.426356589,1.201923077,1.126034168,1.396323104,2.433333333,1.5,1.78,1.237793862,1.468
argentina,2.8,1,15,6.4,2.2,0.59,61%,135,3.2,1.8,0.6,0,58%,1.917808219,1.705426357,1.538461538,1.450521113,1.865928632,1.46,2.186440678,1.968508475,1.519557179,1.581105085
spain,1.8,0.1,18.6,6.4,1.91,0.298,63%,187.8,3,1,0.6,0,73%,1.232876712,1.480620155,1.538461538,2.017836037,1.660983419,14.6,4.32885906,2.5,1.396590051,1.9
england,2.2,1,16,6.4,1.978,0.836,58%,111.8,4.6,3,1.4,0.2,65%,1.506849315,1.533333333,1.538461538,1.201246374,1.612005509,1.46,1.543062201,1.518143541,1.367203305,1.310886125
norway,2.4,1.8,10.6,5,1.874,1.624,53%,97.6,4.2,4.6,0.4,0,72%,1.643835616,1.452713178,1.201923077,1.048673042,1.533911302,0.811111111,0.794334975,0.799367816,1.320346781,0.87962069
belgium,2.6,1,21.4,6.4,2.11,1.23,55%,140,2.8,3,0.8,0.2,54%,1.780821918,1.635658915,1.538461538,1.504244117,1.804309423,1.46,1.048780488,1.172146342,1.482585654,1.103287805
morocco,2,0.8,12.8,5,1.66,0.814,60%,105.4,3.4,2.4,1.2,0,62%,1.369863014,1.286821705,1.201923077,1.132480928,1.396720453,1.825,1.584766585,1.65683661,1.238032272,1.394101966
france,2.8,0.4,17.6,7.8,2.13,0.75,61%,160.8,4.2,2,0.8,0,63%,1.917808219,1.651162791,1.875,1.727731815,1.969686216,3.65,1.72,2.299,1.58181173,1.7794
,,,,,,,,,,,,,,,,,,,,,,,
average xG per team,1.29,,,,,,,,,,,,,,,,,,,,,,
average SOT per team,4.16,,,,,,,,,,,,,,,,,,,,,,
average goal per team,1.46,,,,,,,,,,,,,,,,,,,,,,
avg_passes_into_final third,93.07,,,,,,,,,,,,,,,,,,,,,,
avg_xGA per team,,,,,,,,,,,,,,,,,,,,,,,
